_id,experience,location,salary,search_type,skills,title,url
643b9a05d01321d35da3b00e,6-9 Yrs,"[""Thane""]",Not disclosed,EJB,"[""sr"",""json"",""java development"",""ejb"",""mysql"",""xml"",""hibernate"",""j2ee""]",Sr . Java Developer,https://www.naukri.com/job-listings-sr-java-developer-sproxil-thane-6-to-9-years-010722500719
643b9a05d01321d35da3b00f,10-12 Yrs,"[""Noida""]",Not disclosed,EJB,"[""Algorithms"",""Coaching"",""Coding"",""Tools"",""Data structures"",""Scheduling"",""EJB"",""JIRA""]",Project Manager,https://www.naukri.com/job-listings-project-manager-right-step-consulting-private-limited-noida-10-to-12-years-110417501551
643b9a05d01321d35da3b010,2-7 Yrs,"[""Kolkata"",""Mumbai"",""Hyderabad/Secunderabad"",""Pune"",""Gurgaon/Gurugram"",""Chennai"",""Bangalore/Bengaluru""]",Not disclosed,EJB,"[""Pega"",""development"",""html"",""jsp"",""j2ee"",""javascript"",""css"",""cs""]",pega developer,https://www.naukri.com/job-listings-pega-developer-netquo-services-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-gurgaon-gurugram-chennai-bangalore-bengaluru-2-to-7-years-140423905389
643b9a05d01321d35da3b011,10-15 Yrs,"[""Hybrid - Noida"",""Pune"",""Chennai"",""Bangalore/Bengaluru""]",16-30 Lacs PA,EJB,"[""Java"",""Junit Testing"",""Waterfall"",""Design Patterns"",""ejb"",""hibernate"",""spring"",""j2ee""]",Java Architect,https://www.naukri.com/job-listings-java-architect-tech-mahindra-noida-pune-chennai-bangalore-bengaluru-10-to-15-years-140423007017
643b9a05d01321d35da3b012,6-10 Yrs,"[""Bangalore/Bengaluru""]",Not disclosed,EJB,"[""UML"",""XML"",""Workflow"",""Application development"",""EJB"",""development"",""healthcare"",""agile""]",Application Developer: Healthcare Applications,https://www.naukri.com/job-listings-application-developer-healthcare-applications-ibm-bangalore-bengaluru-6-to-10-years-310123920180
643b9a05d01321d35da3b013,6-10 Yrs,"[""Gurgaon/Gurugram""]",Not disclosed,EJB,"[""UML"",""XML"",""Workflow"",""Application development"",""EJB"",""application"",""rational"",""development""]",Application Developer: Healthcare Applications,https://www.naukri.com/job-listings-application-developer-healthcare-applications-ibm-gurgaon-gurugram-6-to-10-years-310123920177
643b9a05d01321d35da3b014,6-10 Yrs,"[""Bangalore/Bengaluru""]",Not disclosed,EJB,"[""Architecture"",""UML"",""XML"",""Healthcare"",""EJB"",""development"",""application"",""rational rose""]",Application Consultant: Healthcare Applications,https://www.naukri.com/job-listings-application-consultant-healthcare-applications-ibm-bangalore-bengaluru-6-to-10-years-310123919711
643b9a05d01321d35da3b015,6-8 Yrs,"[""Bangalore/Bengaluru""]",Not disclosed,EJB,"[""Hibernate"",""Linux"",""XML"",""Oracle"",""SQL"",""software"",""jsp"",""jboss""]",Payments Clear2Pay Software Development Engineer,https://www.naukri.com/job-listings-payments-clear2pay-software-development-engineer-accenture-bangalore-bengaluru-6-to-8-years-300123905869
643b9a05d01321d35da3b016,8-12 Yrs,"[""Hyderabad/Secunderabad""]",Not disclosed,EJB,"[""Angularjs"",""spring mvc"",""primefaces"",""Java Programming"",""ejb"",""programming"",""data"",""angular""]",Technical Consultant ( Java Angular ),https://www.naukri.com/job-listings-technical-consultant-java-angular-colruyt-it-consultancy-india-hyderabad-secunderabad-8-to-12-years-291122014471
643b9a05d01321d35da3b017,4-9 Yrs,"[""Pune""]",Not disclosed,EJB,"[""java"",""ejb"",""java development"",""spring boot"",""development"",""j2ee"",""jee"",""java Developer""]",Java-developer,https://www.naukri.com/job-listings-java-developer-2coms-pune-4-to-9-years-130423908707
643b9a05d01321d35da3b018,6-10 Yrs,"[""Bangalore/Bengaluru""]",Not disclosed,EJB,"[""software"",""spring"",""java"",""troubleshooting"",""sql"",""application software"",""ejb"",""application""]",Senior Software Engineer Java,https://www.naukri.com/job-listings-senior-software-engineer-java-danske-bank-bangalore-bengaluru-6-to-10-years-130423502380
643b9a09d01321d35da3b019,4-6 Yrs,"[""Bangalore/Bengaluru""]",Not disclosed,Nexus,"[""Supply chain"",""Team management"",""Consulting"",""System integration"",""Gap analysis"",""enterprise architecture"",""integration"",""management""]",Infor GT Nexus Application Lead,https://www.naukri.com/job-listings-infor-gt-nexus-application-lead-accenture-bangalore-bengaluru-4-to-6-years-130223902526
643b9a09d01321d35da3b01a,6-11 Yrs,"[""Goregaon"",""Mumbai (All Areas)""]",Not disclosed,Nexus,"[""Wireless"",""Nexus"",""Infoblox"",""technical"",""aruba wireless"",""cisco"",""network engineering"",""networking""]","Looking For Technical Lead Engineer with NTT Global Networks, Mumbai",https://www.naukri.com/job-listings-looking-for-technical-lead-engineer-with-ntt-global-networks-mumbai-ntt-global-networks-goregaon-mumbai-all-areas-6-to-11-years-130722009387
643b9a09d01321d35da3b01b,4-8 Yrs,"[""Hybrid - Pune"",""Gurgaon/Gurugram"",""Bangalore/Bengaluru"",""Mumbai (All Areas)""]",Not disclosed,Nexus,"[""routing protocols"",""Data Center"",""Cisco Nexus"",""networking"",""network engineering"",""routing"",""cisco switches"",""center""]",Network Engineer (Data center and Cisco nexus and Routing Protocols),https://www.naukri.com/job-listings-network-engineer-data-center-and-cisco-nexus-and-routing-protocols-addrec-solutions-pune-gurgaon-gurugram-bangalore-bengaluru-mumbai-all-areas-4-to-8-years-060423009604
643b9a09d01321d35da3b01c,6-11 Yrs,"[""Hybrid - Kolkata"",""Hyderabad/Secunderabad"",""Chennai"",""Bangalore/Bengaluru"",""Delhi / NCR""]",Not disclosed,Nexus,"[""Terraform"",""Aws Devops"",""jenkins"",""ansible"",""devops"",""aws""]",Aws Devops Engineer,https://www.naukri.com/job-listings-aws-devops-engineer-tata-consultancy-services-tcs-kolkata-hyderabad-secunderabad-chennai-bangalore-bengaluru-delhi-ncr-6-to-11-years-140423004059
643b9a09d01321d35da3b01d,5-8 Yrs,"[""Mumbai"",""Pune"",""Chennai"",""Bangalore/Bengaluru""]",Not disclosed,Nexus,"[""DevOps"",""jenkins"",""github"",""nexus"",""git"",""agile"",""jira"",""application security""]",DevOps - Jfrog or Nexus Administrator,https://www.naukri.com/job-listings-devops-jfrog-or-nexus-administrator-cliqhr-recruitment-services-mumbai-pune-chennai-bangalore-bengaluru-5-to-8-years-200323908012
643b9a09d01321d35da3b01e,0-1 Yrs,"[""Kolhapur""]",Not disclosed,Nexus,"[""computer"",""engineering"",""software"",""computer science"",""training"",""science"",""HR Trainee""]",Trainee Software Engineer,https://www.naukri.com/job-listings-trainee-software-engineer-nexus-software-system-kolhapur-0-to-1-years-300421500718
643b9a09d01321d35da3b01f,6-11 Yrs,"[""Hyderabad/Secunderabad"",""Mumbai (All Areas)""]",Not disclosed,Nexus,"[""nexus"",""Vpc"",""cisco"",""center"",""data"",""data center"",""l2"",""aci""]",Datacenter Nexus  ACI L2 Engineer Mumbai Hyderabad,https://www.naukri.com/job-listings-datacenter-nexus-aci-l2-engineer-mumbai-hyderabad-acesoft-labs-hyderabad-secunderabad-mumbai-all-areas-6-to-11-years-110423006414
643b9a09d01321d35da3b020,7-12 Yrs,"[""Kolkata"",""Mumbai"",""Hyderabad/Secunderabad"",""Pune"",""Chennai"",""Ahmedabad"",""Delhi / NCR"",""Bangalore/Bengaluru""]",Not disclosed,Nexus,"[""Network Support"",""protocols"",""nexus switches"",""routing"",""incident management"",""routing protocols"",""lan"",""nexus""]",Network Support Engineer - Routing & Switching,https://www.naukri.com/job-listings-network-support-engineer-routing-switching-macropace-technologies-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-7-to-12-years-220323904930
643b9a09d01321d35da3b021,0-4 Yrs,"[""Nagpur"",""Pune"",""Aurangabad""]",1.25-3 Lacs PA,Nexus,"[""Production Engineering"",""Maintenance"",""Quality"",""Production"",""Tool Room"",""purchase"",""product quality"",""itim""]",Diploma Eng/ Be Engineer For Quality Production or Maintenance,https://www.naukri.com/job-listings-diploma-eng-be-engineer-for-quality-production-or-maintenance-nexus-hr-consultancy-nagpur-pune-aurangabad-0-to-4-years-091222005691
643b9a09d01321d35da3b022,4-6 Yrs,"[""Mumbai"",""Thane"",""Navi Mumbai"",""Gurgaon/Gurugram"",""Malad""]",4-9 Lacs PA,Nexus,"[""Palo Alto Firewall"",""firewall"",""router"",""network security"",""cisco"",""networking"",""switching"",""cisco asa""]",Assistant Manager Network,https://www.naukri.com/job-listings-assistant-manager-network-teleperformance-tp-mumbai-thane-navi-mumbai-gurgaon-gurugram-malad-4-to-6-years-020822006199
643b9a09d01321d35da3b023,0-2 Yrs,"[""Gurgaon""]",Not disclosed,Nexus,"[""analysis"",""bom"",""voip"",""cisco nexus"",""administration"",""technical"",""qos"",""nexus""]",Networking Jobs in Gurgaon - Network Engineer,https://www.naukri.com/job-listings-networking-jobs-in-gurgaon-network-engineer-right-step-consulting-private-limited-gurgaon-0-to-2-years-290617504992
643b9a09d01321d35da3b024,3-5 Yrs,"[""Noida(Sector-63 Noida)""]",9-12 Lacs PA,Nexus,"[""python"",""Prometheus"",""Grafana"",""shell"",""Azure Devops"",""svn"",""puppet"",""ansi""]",Devops Engineer,https://www.naukri.com/job-listings-devops-engineer-creativelipi-webtech-noida-3-to-5-years-060423007300
643b9a09d01321d35da3b025,5-10 Yrs,"[""Hybrid - Hyderabad/Secunderabad"",""Pune"",""Gurgaon/Gurugram""]",Not disclosed,Nexus,"[""Devops"",""Aws Devops"",""Terraform"",""Cicd Pipeline"",""Aws Iam"",""golang"",""vault"",""java""]",DevOps Engineer,https://www.naukri.com/job-listings-devops-engineer-db-schenker-hyderabad-secunderabad-pune-gurgaon-gurugram-5-to-10-years-040423004456
643b9a09d01321d35da3b026,6-11 Yrs,"[""Bangalore/Bengaluru""]",Not disclosed,Nexus,"[""change"",""issue"",""ospf"",""nexus"",""itil"",""process"",""resolution"",""cisco""]",Nexus Engineer,https://www.naukri.com/job-listings-nexus-engineer-cotocus-com-bangalore-bengaluru-6-to-11-years-041022501003
643b9a09d01321d35da3b027,2-7 Yrs,"[""Mumbai""]",Not disclosed,Nexus,"[""management"",""basic"",""sales management"",""chemical"",""sales"",""adhesives"",""nexus"",""MIN""]",Sales Manager,https://www.naukri.com/job-listings-sales-manager-nexus-pneumatics-private-limited-mumbai-2-to-7-years-270219501623
